Primary URL,Page,Method,Domain,Context,Alternative 1,Alt 1 Method,Alternative 2,Alt 2 Method,Alternative 3,Alt 3 Method
"https://infrablockchain.net/documents/web3ai-newnal/Web3ai-Newnal-Tech-1-Web3-ai.pdf",1,"annotation","infrablockchain.net","",,,,,,
"https://infrablockchain.net/documents/web3ai-newnal/Web3ai-Newnal-Tech-2-Web3-ai-OS.pdf",1,"annotation","infrablockchain.net","",,,,,,
"https://infrablockchain.net/documents/web3ai-newnal/Web3ai-Newnal-Tech-3-Web3-Telecom.pdf",1,"annotation","infrablockchain.net","",,,,,,
"https://infrablockchain.net/documents/web3ai-newnal/Web3ai-Newnal-Tech-4-Newnal-ai-Agent-Place.pdf",1,"annotation","infrablockchain.net","",,,,,,
"https://infrablockchain.net/documents/web3ai-newnal/Web3ai-Newnal-Tech-5-InfraBlockchain.pdf",1,"annotation","infrablockchain.net","",,,,,,
"https://infrablockchain.net/documents/Universal_Resource_Auth_Technical_Whitepaper_v0.7c.pdf",1,"annotation","infrablockchain.net","",,,,,,
"https://infrablockchain.net/documents/InfraBlockchain_Technical_White_Paper_Version_2_4_ENG_202008.pdf",1,"annotation","infrablockchain.net","",,,,,,
"https://infrablockchain.net/documents/YOSEMITE_Hybrid_Exchange_Technical_White_Paper_20170731a.pdf",1,"annotation","infrablockchain.net","",,,,,,
"https://docs.infrablockchain.net/infrablockchain-docs/infrablockchain/learn/architecture/architecture",1,"annotation","docs.infrablockchain.net","",,,,,,
"https://docs.infrablockchain.net/infrablockchain-antelope",2,"annotation","docs.infrablockchain.net","",,,,,,
"https://github.com/InfraBlockchain/infra-did-method-specs/blob/main/docs/Infra-DID-method-spec.md",2,"annotation","github.com","",,,,,,
"https://www.w3.org/TR/did-extensions-methods/",2,"annotation","w3.org","",,,,,,
"https://github.com/infrablockchain",2,"annotation","github.com","",,,,,,
"https://patentscope.wipo.int/search/en/detail.jsf?docId=US448394725",2,"annotation","patentscope.wipo.int","",,,,,,
"https://worldwide.espacenet.com/patent/search/family/087933602/publication/EP4507248A1?q=23195338.1",2,"annotation","worldwide.espacenet.com","",,,,,,
"https://doi.org/10.8080/1020230103842",2,"annotation","doi.org","",,,,,,
"https://drive.google.com/file/d/1K4kjA9sv-IQKnzz9rA_Skes7DHTXnt80/view",2,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1v2jF65mgN7cztVWpMjhEAUsJiCrcQhUo/view",2,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1gIN7EaB8WVD0-U6jtHKVgv-muMzunapp/view",3,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/17aJpJPQfQ7UQm9L8psnMZj9G1l54Ss6l/view",3,"annotation","drive.google.com","",,,,,,
"https://patentscope.wipo.int/search/en/detail.jsf?docId=US444092601",3,"annotation","patentscope.wipo.int","",,,,,,
"https://doi.org/10.8080/1020230073929",3,"annotation","doi.org","",,,,,,
"https://drive.google.com/file/d/1Zm0dULHUoKix4MI4XDuXUcVPYZa0rBpe/view",3,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1Hy_F5pxuBbsxIQtYjFwTkKKCYXcgo3DY/view",3,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/138fP9gKDgIkga-ee5k4S3Jt0fnnIL0Q8/view",3,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1qV7EJjz0GQ308mcdIXqfH7p7FUsLWhiC/view",3,"annotation","drive.google.com","",,,,,,
"https://infrablockchain.net/documents/patent/US-63-763955-P-2.pdf",3,"annotation","infrablockchain.net","",,,,,,
"https://infrablockchain.net/documents/patent/US-63-884059-P-1.pdf",3,"annotation","infrablockchain.net","",,,,,,
"https://drive.google.com/file/d/10r1XigF6h6GejNC2cIi5QHBP3CGeMutb/view",4,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1BKJMC00WWMzBXVps0-q8AFC-xrtVjpZy/view",4,"annotation","drive.google.com","",,,,,,
"https://infrablockchain.net/documents/patent/US-63-865619-P-1.pdf",4,"annotation","infrablockchain.net","",,,,,,
"https://drive.google.com/file/d/13RyE757n5GoGMqk8RVvgLvFQo6_NItKn/view",4,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1YaglpOjWKW5cW3Gl-diGtu-yIFBG3ovU/view",4,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1cMYzHNjKoPkHk5GskGRoQzHA68wnVxO5/view",4,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1l4XWH1ZSgCWtfcrEsBtMyMRnn1PeJlOc/view",5,"annotation","drive.google.com","",,,,,,
"https://infrablockchain.net/documents/patent/US-19-104055-2.pdf",5,"annotation","infrablockchain.net","",,,,,,
"https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2024048838",5,"annotation","patentscope.wipo.int","",,,,,,
"https://doi.org/10.8080/1020220108948",5,"annotation","doi.org","",,,,,,
"https://infrablockchain.net/documents/patent/US-19-059751.pdf",5,"annotation","infrablockchain.net","",,,,,,
"https://drive.google.com/file/d/1OacAVR4WUz7i7fe9fyZ56jMgVAEjkUYK/view",5,"annotation","drive.google.com","",,,,,,
"https://patents.google.com/patent/US11636450B2/en?oq=US-11636450-B2",5,"annotation","patents.google.com","",,,,,,
